"Human"	"Mouse"	"value"
"184"	"respiratory.mucous.cell"	"pericyte.cell"	0.0108254397834912
"385"	"b.cell"	"lymphocyte"	0.0107858243451464
"447"	"plasmacytoid.dendritic.cell"	"myofibroblast.cell"	0.0106609808102345
"467"	"capillary.endothelial.cell"	"fibroblast"	0.0105932203389831
"271"	"b.cell"	"alveolar.macrophage"	0.0105820105820106
"76"	"vein.endothelial.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0105740181268882
"218"	"plasma.cell"	"B.cell"	0.0105485232067511
"135"	"macrophage"	"capillary.endothelial.cell"	0.0105433901054339
"288"	"mesothelial.cell"	"alveolar.macrophage"	0.0105263157894737
"202"	"classical.monocyte"	"B.cell"	0.0104302477183833
"83"	"basophil"	"pulmonary.artery.endothelial.cell"	0.0104166666666667
"279"	"club.cell"	"alveolar.macrophage"	0.0103926096997691
"170"	"intermediate.monocyte"	"pericyte.cell"	0.0103734439834025
"120"	"basal.cell"	"capillary.endothelial.cell"	0.0103537532355479
"103"	"pericyte.cell"	"pulmonary.artery.endothelial.cell"	0.0102685624012638
"328"	"neutrophil"	"classical.monocyte"	0.0102685624012638
"61"	"myofibroblast.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0102404274265361
"110"	"smooth.muscle.cell"	"pulmonary.artery.endothelial.cell"	0.0102115244347192
"75"	"vascular.associated.smooth.muscle.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.0101476014760148
"274"	"bronchial.smooth.muscle.cell"	"alveolar.macrophage"	0.0101180438448567
"299"	"serous.cell.of.epithelium.of.bronchus"	"alveolar.macrophage"	0.0100908173562059
"524"	"pulmonary.ionocyte"	"fibroblast.1"	0.0100361300682457
"121"	"basophil"	"capillary.endothelial.cell"	0.0100250626566416
"420"	"cd4.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.00997150997150997
"133"	"lung.ciliated.cell"	"capillary.endothelial.cell"	0.00995405819295559
"157"	"b.cell"	"pericyte.cell"	0.0099290780141844
"109"	"serous.cell.of.epithelium.of.bronchus"	"pulmonary.artery.endothelial.cell"	0.00985221674876847
"235"	"basophil"	"neutrophil"	0.00985221674876847
"491"	"type.i.pneumocyte"	"fibroblast"	0.00982800982800983
"487"	"respiratory.goblet.cell"	"fibroblast"	0.00980392156862745
"42"	"alveolar.fibroblast"	"pulmonary.ionocyte..type.II.pneumocyte"	0.00978260869565217
"505"	"capillary.endothelial.cell"	"fibroblast.1"	0.00977517106549365
"285"	"lung.ciliated.cell"	"alveolar.macrophage"	0.00973338975878121
"196"	"basal.cell"	"B.cell"	0.00972222222222222
"173"	"macrophage"	"pericyte.cell"	0.00966183574879227
"406"	"non.classical.monocyte"	"lymphocyte"	0.00958466453674121
"188"	"type.ii.pneumocyte"	"pericyte.cell"	0.00958247775496235
"207"	"fibroblast"	"B.cell"	0.00957854406130268
"108"	"respiratory.mucous.cell"	"pulmonary.artery.endothelial.cell"	0.00956937799043062
"303"	"vascular.associated.smooth.muscle.cell"	"alveolar.macrophage"	0.00949367088607595
"305"	"cd8.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00947867298578199
"49"	"capillary.endothelial.cell"	"pulmonary.ionocyte..type.II.pneumocyte"	0.00946969696969697
"400"	"lung.microvascular.endothelial.cell"	"lymphocyte"	0.00946969696969697
