"Human"	"Mouse"	"value"
"249"	"hematopoietic.stem.cell"	"marginal.zone.B.cell.of.spleen"	0.00305810397553517
"317"	"cd141.positive.myeloid.dendritic.cell"	"naive.thymus.derived.CD8.positive..alpha.beta.T.cell"	0.00304878048780488
"134"	"memory.b.cell"	"monocyte"	0.003003003003003
"351"	"naive.b.cell"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.00297619047619048
"201"	"hematopoietic.stem.cell"	"follicular.B.cell"	0.00290135396518375
"137"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"monocyte"	0.00289855072463768
"251"	"intermediate.monocyte"	"marginal.zone.B.cell.of.spleen"	0.00289435600578871
"260"	"plasma.cell"	"marginal.zone.B.cell.of.spleen"	0.00280898876404494
"115"	"nk.cell"	"mesenchymal.stem.cell"	0.00275988960441582
"170"	"cd4.positive..alpha.beta.memory.t.cell"	"natural.killer.cell"	0.002710027100271
"14"	"memory.b.cell"	"epithelial.cell"	0.00266193433895297
"343"	"endothelial.cell"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.00264783759929391
"157"	"mature.nk.t.cell"	"conventional.dendritic.cell"	0.00259067357512953
"133"	"mature.nk.t.cell"	"monocyte"	0.00258397932816537
"168"	"type.i.nk.t.cell"	"conventional.dendritic.cell"	0.00258397932816537
"144"	"type.i.nk.t.cell"	"monocyte"	0.00257731958762887
"307"	"nk.cell"	"CD8.positive..alpha.beta.memory.T.cell"	0.00253807106598985
"215"	"regulatory.t.cell"	"follicular.B.cell"	0.00252525252525253
"355"	"nk.cell"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.00248138957816377
"296"	"erythrocyte"	"CD8.positive..alpha.beta.memory.T.cell"	0.00246305418719212
"212"	"plasma.cell"	"follicular.B.cell"	0.00244498777506112
"85"	"mature.nk.t.cell"	"T1.B.cell"	0.00232828870779977
"110"	"memory.b.cell"	"mesenchymal.stem.cell"	0.00230149597238205
"113"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.00227014755959137
"246"	"classical.monocyte"	"marginal.zone.B.cell.of.spleen"	0.0022271714922049
"297"	"hematopoietic.stem.cell"	"CD8.positive..alpha.beta.memory.T.cell"	0.00221238938053097
"259"	"nk.cell"	"marginal.zone.B.cell.of.spleen"	0.00211864406779661
"119"	"regulatory.t.cell"	"mesenchymal.stem.cell"	0.00208550573514077
"248"	"erythrocyte"	"marginal.zone.B.cell.of.spleen"	0.00206611570247934
"111"	"naive.b.cell"	"mesenchymal.stem.cell"	0.0019588638589618
"2"	"cd4.positive..alpha.beta.memory.t.cell"	"epithelial.cell"	0.00195121951219512
"102"	"classical.monocyte"	"mesenchymal.stem.cell"	0.00187793427230047
"286"	"platelet"	"activated.CD4.positive..alpha.beta.T.cell"	0.00187149095446039
"354"	"neutrophil"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.00182982616651418
"319"	"endothelial.cell"	"naive.thymus.derived.CD8.positive..alpha.beta.T.cell"	0.00176756517896597
"188"	"plasma.cell"	"natural.killer.cell"	0.00173913043478261
"298"	"innate.lymphoid.cell"	"CD8.positive..alpha.beta.memory.T.cell"	0.00173913043478261
"322"	"innate.lymphoid.cell"	"naive.thymus.derived.CD8.positive..alpha.beta.T.cell"	0.00172711571675302
"27"	"cd8.positive..alpha.beta.memory.t.cell"	"macrophage"	0.00166944908180301
"51"	"cd8.positive..alpha.beta.memory.t.cell"	"plasmacytoid.dendritic.cell"	0.00154559505409583
"40"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00154083204930663
"357"	"plasmacytoid.dendritic.cell"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.00147058823529412
"324"	"macrophage"	"naive.thymus.derived.CD8.positive..alpha.beta.T.cell"	0.00137174211248285
"99"	"cd8.positive..alpha.beta.memory.t.cell"	"mesenchymal.stem.cell"	0.00133689839572193
"295"	"endothelial.cell"	"CD8.positive..alpha.beta.memory.T.cell"	0.00132743362831858
"334"	"platelet"	"naive.thymus.derived.CD8.positive..alpha.beta.T.cell"	0.00131665569453588
"358"	"platelet"	"naive.thymus.derived.CD4.positive..alpha.beta.T.cell"	0.00131233595800525
