"Trachea"	"Skeletal muscle"	"value"
"260"	"t.cell"	"mesothelial.cell"	0.00413223140495868
"160"	"t.cell"	"fast.muscle.cell"	0.00410677618069815
"164"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00401929260450161
"314"	"mucus.secreting.cell"	"slow.muscle.cell"	0.00399201596806387
"275"	"neutrophil"	"pericyte.cell"	0.00397456279809221
"137"	"secretory.cell"	"erythrocyte"	0.00396825396825397
"156"	"plasma.cell"	"fast.muscle.cell"	0.00391006842619746
"85"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00388726919339164
"76"	"plasma.cell"	"endothelial.cell.of.artery"	0.00375469336670839
"380"	"t.cell"	"tendon.cell"	0.0036231884057971
"375"	"neutrophil"	"tendon.cell"	0.0036101083032491
"127"	"connective.tissue.cell"	"erythrocyte"	0.00349040139616056
"285"	"cd8.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00348837209302326
"264"	"cd4.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00348432055749129
"131"	"ionocyte"	"erythrocyte"	0.00341463414634146
"197"	"secretory.cell"	"mast.cell"	0.00338218714768884
"336"	"plasma.cell"	"smooth.muscle.cell"	0.00337457817772778
"34"	"mucus.secreting.cell"	"cd4.positive..alpha.beta.t.cell"	0.00319488817891374
"126"	"ciliated.cell"	"erythrocyte"	0.00295566502463054
"224"	"cd4.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.00293685756240822
"132"	"macrophage"	"erythrocyte"	0.00286532951289398
"41"	"goblet.cell"	"cd8.positive..alpha.beta.t.cell"	0.00284900284900285
"268"	"double.positive..alpha.beta.thymocyte"	"pericyte.cell"	0.00282326369282891
"65"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00280898876404494
"124"	"cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0.00271739130434783
"357"	"secretory.cell"	"t.cell"	0.00269541778975741
"356"	"plasma.cell"	"t.cell"	0.00263852242744063
"128"	"double.positive..alpha.beta.thymocyte"	"erythrocyte"	0.00255591054313099
"349"	"endothelial.cell"	"t.cell"	0.00253968253968254
"219"	"smooth.muscle.cell"	"mature.nk.t.cell"	0.00253324889170361
"37"	"secretory.cell"	"cd4.positive..alpha.beta.t.cell"	0.00249376558603491
"362"	"b.cell"	"tendon.cell"	0.00249376558603491
"36"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0.00239808153477218
"228"	"double.positive..alpha.beta.thymocyte"	"mesenchymal.stem.cell"	0.00212879191059074
"134"	"mucus.secreting.cell"	"erythrocyte"	0.00209205020920502
"210"	"fibroblast"	"mature.nk.t.cell"	0.00208188757807078
"57"	"secretory.cell"	"cd8.positive..alpha.beta.t.cell"	0.00202020202020202
"322"	"b.cell"	"smooth.muscle.cell"	0.00183318056828598
"217"	"secretory.cell"	"mature.nk.t.cell"	0.0018018018018018
"120"	"t.cell"	"endothelial.cell.of.vascular.tree"	0.00177619893428064
"177"	"secretory.cell"	"macrophage"	0.0017683465959328
"236"	"plasma.cell"	"mesenchymal.stem.cell"	0.00171821305841924
"130"	"fibroblast"	"erythrocyte"	0.00171232876712329
"377"	"secretory.cell"	"tendon.cell"	0.00170648464163823
"296"	"plasma.cell"	"skeletal.muscle.satellite.stem.cell"	0.00168634064080944
"116"	"plasma.cell"	"endothelial.cell.of.vascular.tree"	0.00163398692810458
"100"	"t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00140056022408964
"139"	"smooth.muscle.cell"	"erythrocyte"	0.00138312586445367
"265"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.00134408602150538
"50"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00120918984280532
"225"	"cd8.positive..alpha.beta.t.cell"	"mesenchymal.stem.cell"	0.00117508813160987
"365"	"cd8.positive..alpha.beta.t.cell"	"tendon.cell"	0.00114810562571757
"39"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00114678899082569
"350"	"fibroblast"	"t.cell"	0.000930232558139535
"180"	"t.cell"	"macrophage"	0.000909918107370337
"29"	"endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0.000809061488673139
"320"	"t.cell"	"slow.muscle.cell"	0.000800640512409928
"27"	"connective.tissue.cell"	"cd4.positive..alpha.beta.t.cell"	0.000770416024653313
"49"	"endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00075187969924812
