"Spleen"	"Lung"	"value"
"81"	"hematopoietic.stem.cell"	"alveolar.fibroblast"	0.0150214592274678
"776"	"erythrocyte"	"serous.cell.of.epithelium.of.bronchus"	0.0150187734668335
"249"	"hematopoietic.stem.cell"	"capillary.endothelial.cell"	0.015003261578604
"540"	"macrophage"	"myofibroblast.cell"	0.0149547422274695
"779"	"intermediate.monocyte"	"serous.cell.of.epithelium.of.bronchus"	0.0149402390438247
"701"	"cd141.positive.myeloid.dendritic.cell"	"pulmonary.ionocyte"	0.0148637489677952
"453"	"plasmacytoid.dendritic.cell"	"lung.ciliated.cell"	0.0148453608247423
"204"	"macrophage"	"bronchial.vessel.endothelial.cell"	0.0147492625368732
"898"	"innate.lymphoid.cell"	"vein.endothelial.cell"	0.01468788249694
"868"	"cd8.positive..alpha.beta.t.cell"	"vascular.associated.smooth.muscle.cell"	0.0146809712027103
"178"	"innate.lymphoid.cell"	"bronchial.smooth.muscle.cell"	0.0146551724137931
"167"	"regulatory.t.cell"	"basophil"	0.0145867098865478
"245"	"cd141.positive.myeloid.dendritic.cell"	"capillary.endothelial.cell"	0.0145681581685744
"516"	"macrophage"	"mesothelial.cell"	0.0145547945205479
"900"	"macrophage"	"vein.endothelial.cell"	0.0145077720207254
"148"	"cd8.positive..alpha.beta.t.cell"	"basophil"	0.0144131777625257
"846"	"classical.monocyte"	"type.ii.pneumocyte"	0.0142857142857143
"790"	"platelet"	"serous.cell.of.epithelium.of.bronchus"	0.0142555438225977
"501"	"plasmacytoid.dendritic.cell"	"macrophage"	0.0142314990512334
"125"	"cd141.positive.myeloid.dendritic.cell"	"basal.cell"	0.0141065830721003
"861"	"plasmacytoid.dendritic.cell"	"type.ii.pneumocyte"	0.0140712945590994
"385"	"cd1c.positive.myeloid.dendritic.cell"	"fibroblast"	0.0140296180826189
"844"	"cd8.positive..alpha.beta.t.cell"	"type.ii.pneumocyte"	0.0139442231075697
"16"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.t.cell"	0.0139130434782609
"526"	"platelet"	"mesothelial.cell"	0.0138532580810672
"440"	"erythrocyte"	"lung.ciliated.cell"	0.0138504155124654
"845"	"cd141.positive.myeloid.dendritic.cell"	"type.ii.pneumocyte"	0.0138121546961326
"265"	"cd1c.positive.myeloid.dendritic.cell"	"classical.monocyte"	0.0136612021857923
"649"	"cd1c.positive.myeloid.dendritic.cell"	"plasma.cell"	0.0136363636363636
"361"	"cd1c.positive.myeloid.dendritic.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0136054421768707
"259"	"nk.cell"	"capillary.endothelial.cell"	0.0135790494665373
"340"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.013530135301353
"443"	"intermediate.monocyte"	"lung.ciliated.cell"	0.0134907251264755
"248"	"erythrocyte"	"capillary.endothelial.cell"	0.0134228187919463
"505"	"cd1c.positive.myeloid.dendritic.cell"	"mesothelial.cell"	0.0134146341463415
"571"	"nk.cell"	"neutrophil"	0.0133868808567604
