"Lung"	"Trachea"	"value"
"603"	"serous.cell.of.epithelium.of.bronchus"	"plasma.cell"	0.0117056856187291
"264"	"type.ii.pneumocyte"	"connective.tissue.cell"	0.0115332428765265
"88"	"classical.monocyte"	"basal.cell"	0.0115303983228512
"39"	"cd8.positive..alpha.beta.t.cell"	"b.cell"	0.0114810562571757
"176"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.011457670273711
"383"	"adventitial.cell"	"ionocyte"	0.0113821138211382
"704"	"lung.microvascular.endothelial.cell"	"smooth.muscle.cell"	0.0113507377979569
"515"	"macrophage"	"mucus.secreting.cell"	0.0112640801001252
"97"	"macrophage"	"basal.cell"	0.0112130479102956
"241"	"club.cell"	"connective.tissue.cell"	0.0111524163568773
"401"	"macrophage"	"ionocyte"	0.0110169491525424
"630"	"mesothelial.cell"	"secretory.cell"	0.010989010989011
"130"	"endothelial.cell.of.lymphatic.vessel"	"cd4.positive..alpha.beta.t.cell"	0.0109606705351386
"281"	"endothelial.cell.of.artery"	"double.positive..alpha.beta.thymocyte"	0.0109507217521155
"458"	"cd4.positive..alpha.beta.t.cell"	"mast.cell"	0.0109289617486339
"329"	"nk.cell"	"endothelial.cell"	0.0107084019769358
"149"	"type.i.pneumocyte"	"cd4.positive..alpha.beta.t.cell"	0.0106820049301561
"518"	"neutrophil"	"mucus.secreting.cell"	0.0105680317040951
"237"	"bronchial.vessel.endothelial.cell"	"connective.tissue.cell"	0.0105017502917153
"214"	"neutrophil"	"ciliated.cell"	0.0104746317512275
"50"	"classical.monocyte"	"b.cell"	0.0104712041884817
"465"	"bronchial.vessel.endothelial.cell"	"mast.cell"	0.0104585679806919
"660"	"dendritic.cell"	"serous.cell.of.epithelium.of.trachea"	0.0104408352668213
"433"	"endothelial.cell.of.artery"	"macrophage"	0.0104347826086957
"351"	"bronchial.vessel.endothelial.cell"	"fibroblast"	0.0103896103896104
"521"	"pericyte.cell"	"mucus.secreting.cell"	0.0103092783505155
"641"	"serous.cell.of.epithelium.of.bronchus"	"secretory.cell"	0.0102915951972556
