"Spleen"	"Skeletal muscle"	"value"
"213"	"plasmacytoid.dendritic.cell"	"macrophage"	0.0131332082551595
"59"	"intermediate.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.0131291028446389
"105"	"hematopoietic.stem.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0131034482758621
"347"	"intermediate.monocyte"	"skeletal.muscle.satellite.stem.cell"	0.0130653266331658
"188"	"plasma.cell"	"fast.muscle.cell"	0.0128322639780018
"365"	"cd141.positive.myeloid.dendritic.cell"	"slow.muscle.cell"	0.0128113879003559
"10"	"innate.lymphoid.cell"	"capillary.endothelial.cell"	0.012589928057554
"440"	"erythrocyte"	"tendon.cell"	0.0125156445556946
"111"	"naive.b.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0125
"178"	"innate.lymphoid.cell"	"fast.muscle.cell"	0.0122743682310469
"186"	"neutrophil"	"fast.muscle.cell"	0.0121757543673902
"229"	"mature.nk.t.cell"	"mast.cell"	0.0119047619047619
"224"	"erythrocyte"	"mast.cell"	0.0118289353958144
"19"	"nk.cell"	"capillary.endothelial.cell"	0.0117773019271949
"354"	"neutrophil"	"skeletal.muscle.satellite.stem.cell"	0.0116279069767442
"407"	"regulatory.t.cell"	"smooth.muscle.cell"	0.0116279069767442
"70"	"platelet"	"cd8.positive..alpha.beta.t.cell"	0.0116214720531267
"126"	"classical.monocyte"	"endothelial.cell.of.vascular.tree"	0.0116129032258065
"5"	"cd141.positive.myeloid.dendritic.cell"	"capillary.endothelial.cell"	0.0115606936416185
"15"	"naive.b.cell"	"capillary.endothelial.cell"	0.0115207373271889
"269"	"cd141.positive.myeloid.dendritic.cell"	"mesenchymal.stem.cell"	0.011444921316166
"78"	"classical.monocyte"	"endothelial.cell.of.artery"	0.0114345114345114
"357"	"plasmacytoid.dendritic.cell"	"skeletal.muscle.satellite.stem.cell"	0.0113960113960114
"349"	"mature.nk.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.0113636363636364
"351"	"naive.b.cell"	"skeletal.muscle.satellite.stem.cell"	0.0112201963534362
"403"	"nk.cell"	"smooth.muscle.cell"	0.0111731843575419
"302"	"memory.b.cell"	"mesothelial.cell"	0.0111675126903553
"358"	"platelet"	"skeletal.muscle.satellite.stem.cell"	0.0111169931180519
"252"	"macrophage"	"mature.nk.t.cell"	0.0110091743119266
"119"	"regulatory.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0109756097560976
"17"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.010958904109589
"100"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.lymphatic.vessel"	0.010823812387252
"359"	"regulatory.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.0107361963190184
"293"	"cd141.positive.myeloid.dendritic.cell"	"mesothelial.cell"	0.0105913503971756
"303"	"naive.b.cell"	"mesothelial.cell"	0.0105633802816901
"115"	"nk.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0105485232067511
"173"	"cd141.positive.myeloid.dendritic.cell"	"fast.muscle.cell"	0.0105355575065847
"46"	"platelet"	"cd4.positive..alpha.beta.t.cell"	0.0104895104895105
"433"	"cd1c.positive.myeloid.dendritic.cell"	"tendon.cell"	0.010443864229765
"69"	"plasmacytoid.dendritic.cell"	"cd8.positive..alpha.beta.t.cell"	0.0102774922918808
"311"	"regulatory.t.cell"	"mesothelial.cell"	0.0102325581395349
"451"	"nk.cell"	"tendon.cell"	0.0101394169835234
"246"	"classical.monocyte"	"mature.nk.t.cell"	0.0101088646967341
"317"	"cd141.positive.myeloid.dendritic.cell"	"pericyte.cell"	0.0101010101010101
"344"	"erythrocyte"	"skeletal.muscle.satellite.stem.cell"	0.0101010101010101
"56"	"erythrocyte"	"cd8.positive..alpha.beta.t.cell"	0.00984528832630099
"429"	"plasmacytoid.dendritic.cell"	"t.cell"	0.00984413453650533
"87"	"naive.b.cell"	"endothelial.cell.of.artery"	0.00978260869565217
"102"	"classical.monocyte"	"endothelial.cell.of.lymphatic.vessel"	0.00971922246220302
"9"	"hematopoietic.stem.cell"	"capillary.endothelial.cell"	0.00970873786407767
"330"	"neutrophil"	"pericyte.cell"	0.00964391691394659
"239"	"regulatory.t.cell"	"mast.cell"	0.00935550935550936
"287"	"regulatory.t.cell"	"mesenchymal.stem.cell"	0.00934579439252336
"141"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.vascular.tree"	0.00931098696461825
"436"	"cd8.positive..alpha.beta.t.cell"	"tendon.cell"	0.00929614873837981
"174"	"classical.monocyte"	"fast.muscle.cell"	0.0092670598146588
"230"	"memory.b.cell"	"mast.cell"	0.00916380297823597
"413"	"cd141.positive.myeloid.dendritic.cell"	"t.cell"	0.0091324200913242
"275"	"intermediate.monocyte"	"mesenchymal.stem.cell"	0.00910931174089069
"332"	"plasma.cell"	"pericyte.cell"	0.00910746812386157
"278"	"memory.b.cell"	"mesenchymal.stem.cell"	0.00904159132007233
"121"	"cd1c.positive.myeloid.dendritic.cell"	"endothelial.cell.of.vascular.tree"	0.00900900900900901
