"Trachea"	"Bone marrow"	"value"
"216"	"plasma.cell"	"myeloid.progenitor"	0.00235294117647059
"191"	"ionocyte"	"monocyte"	0.00233100233100233
"312"	"macrophage"	"plasma.cell"	0.00231481481481481
"184"	"cd4.positive..alpha.beta.t.cell"	"monocyte"	0.00216919739696312
"125"	"cd8.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0.00212089077412513
"297"	"secretory.cell"	"nk.cell"	0.001998001998002
"2"	"b.cell"	"cd4.positive..alpha.beta.t.cell"	0.00177619893428064
"14"	"mucus.secreting.cell"	"cd4.positive..alpha.beta.t.cell"	0.00174825174825175
"174"	"mucus.secreting.cell"	"memory.b.cell"	0.00166944908180301
"315"	"neutrophil"	"plasma.cell"	0.00163934426229508
"185"	"cd8.positive..alpha.beta.t.cell"	"monocyte"	0.00158730158730159
"35"	"neutrophil"	"cd8.positive..alpha.beta.t.cell"	0.00151975683890578
"115"	"neutrophil"	"granulocyte"	0.00151171579743008
"240"	"t.cell"	"naive.b.cell"	0.00145348837209302
"305"	"cd8.positive..alpha.beta.t.cell"	"plasma.cell"	0.00142247510668563
"144"	"cd4.positive..alpha.beta.t.cell"	"macrophage"	0.00140449438202247
"135"	"neutrophil"	"hematopoietic.stem.cell"	0.00136892539356605
"178"	"serous.cell.of.epithelium.of.trachea"	"memory.b.cell"	0.00135135135135135
"114"	"mucus.secreting.cell"	"granulocyte"	0.00133868808567604
"163"	"basal.cell"	"memory.b.cell"	0.00127713920817369
"19"	"smooth.muscle.cell"	"cd4.positive..alpha.beta.t.cell"	0.00122399020807834
"154"	"mucus.secreting.cell"	"macrophage"	0.00121654501216545
"95"	"neutrophil"	"erythroid.progenitor"	0.00115074798619102
"260"	"t.cell"	"nampt.neutrophil"	0.0010989010989011
"280"	"t.cell"	"neutrophil"	0.00109769484083425
"257"	"secretory.cell"	"nampt.neutrophil"	0.00106044538706257
"256"	"plasma.cell"	"nampt.neutrophil"	0.00104275286757039
"15"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.000870322019147084
"215"	"neutrophil"	"myeloid.progenitor"	0.000610500610500611
"21"	"goblet.cell"	"cd8.positive..alpha.beta.t.cell"	0
"23"	"basal.cell"	"cd8.positive..alpha.beta.t.cell"	0
"60"	"t.cell"	"cd24.neutrophil"	0
"140"	"t.cell"	"hematopoietic.stem.cell"	0
"156"	"plasma.cell"	"macrophage"	0
"160"	"t.cell"	"macrophage"	0
"177"	"secretory.cell"	"memory.b.cell"	0
"180"	"t.cell"	"memory.b.cell"	0
"182"	"b.cell"	"monocyte"	0
"196"	"plasma.cell"	"monocyte"	0
"197"	"secretory.cell"	"monocyte"	0
"237"	"secretory.cell"	"naive.b.cell"	0
"304"	"cd4.positive..alpha.beta.t.cell"	"plasma.cell"	0
"320"	"t.cell"	"plasma.cell"	0
