"Tongue"	"Trachea"	"value"
"229"	"basal.cell"	"t.cell"	0.00212765957446809
"217"	"basal.cell"	"smooth.muscle.cell"	0.00205549845837616
"202"	"schwann.cell"	"secretory.cell"	0.00204666393778142
"182"	"capillary.endothelial.cell"	"plasma.cell"	0.00162866449511401
"186"	"fibroblast"	"plasma.cell"	0.00158982511923688
"79"	"immune.cell"	"connective.tissue.cell"	0.00158562367864693
"60"	"vein.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00153609831029186
"31"	"immune.cell"	"basal.cell"	0.00142247510668563
"161"	"epithelial.cell"	"mucus.secreting.cell"	0.00139082058414465
"102"	"fibroblast"	"endothelial.cell"	0.00138217000691085
"80"	"keratinocyte"	"connective.tissue.cell"	0.00138026224982747
"53"	"epithelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.0012853470437018
"232"	"endothelial.cell.of.lymphatic.vessel"	"t.cell"	0.00125
"113"	"epithelial.cell"	"fibroblast"	0.00121212121212121
"54"	"fibroblast"	"cd8.positive..alpha.beta.t.cell"	0.00111358574610245
"101"	"epithelial.cell"	"endothelial.cell"	0.000753012048192771
"97"	"basal.cell"	"endothelial.cell"	0.000747384155455904
"103"	"immune.cell"	"endothelial.cell"	0.000545851528384279
"7"	"immune.cell"	"goblet.cell"	0
"42"	"fibroblast"	"cd4.positive..alpha.beta.t.cell"	0
"44"	"keratinocyte"	"cd4.positive..alpha.beta.t.cell"	0
"48"	"vein.endothelial.cell"	"cd4.positive..alpha.beta.t.cell"	0
"192"	"vein.endothelial.cell"	"plasma.cell"	0
"199"	"immune.cell"	"secretory.cell"	0
"201"	"pericyte.cell"	"secretory.cell"	0
"204"	"vein.endothelial.cell"	"secretory.cell"	0
"223"	"immune.cell"	"smooth.muscle.cell"	0
"234"	"fibroblast"	"t.cell"	0
"236"	"keratinocyte"	"t.cell"	0
"237"	"pericyte.cell"	"t.cell"	0
