"Trachea"	"Lung"	"value"
"453"	"mast.cell"	"myofibroblast.cell"	0.0165357585779248
"563"	"basal.cell"	"plasmacytoid.dendritic.cell"	0.0164489598451863
"188"	"double.positive..alpha.beta.thymocyte"	"capillary.aerocyte"	0.0163781001403837
"96"	"plasma.cell"	"b.cell"	0.0163636363636364
"78"	"serous.cell.of.epithelium.of.trachea"	"alveolar.fibroblast"	0.0162213740458015
"513"	"mast.cell"	"non.classical.monocyte"	0.0162162162162162
"567"	"connective.tissue.cell"	"plasmacytoid.dendritic.cell"	0.0160973694542599
"569"	"endothelial.cell"	"plasmacytoid.dendritic.cell"	0.0160901045856798
"178"	"serous.cell.of.epithelium.of.trachea"	"bronchial.vessel.endothelial.cell"	0.0160608622147084
"462"	"b.cell"	"neutrophil"	0.0160320641282565
"13"	"mast.cell"	"cd8.positive..alpha.beta.t.cell"	0.0159176029962547
"498"	"serous.cell.of.epithelium.of.trachea"	"nk.cell"	0.0158567774936061
"538"	"serous.cell.of.epithelium.of.trachea"	"pericyte.cell"	0.0157932519741565
"228"	"double.positive..alpha.beta.thymocyte"	"classical.monocyte"	0.0157437567861021
"251"	"ionocyte"	"club.cell"	0.0156810035842294
"378"	"serous.cell.of.epithelium.of.trachea"	"lung.ciliated.cell"	0.0156182212581345
"712"	"macrophage"	"type.ii.pneumocyte"	0.015609756097561
"208"	"double.positive..alpha.beta.thymocyte"	"capillary.endothelial.cell"	0.0155807365439093
"219"	"smooth.muscle.cell"	"capillary.endothelial.cell"	0.015552099533437
"106"	"ciliated.cell"	"basal.cell"	0.0155210643015521
"483"	"basal.cell"	"nk.cell"	0.0155155155155155
"439"	"smooth.muscle.cell"	"mesothelial.cell"	0.0154826958105647
"299"	"smooth.muscle.cell"	"endothelial.cell.of.artery"	0.0154109589041096
"295"	"neutrophil"	"endothelial.cell.of.artery"	0.0153846153846154
"111"	"ionocyte"	"basal.cell"	0.015377855887522
"710"	"fibroblast"	"type.ii.pneumocyte"	0.0153508771929825
"143"	"basal.cell"	"bronchial.smooth.muscle.cell"	0.0152801358234295
"713"	"mast.cell"	"type.ii.pneumocyte"	0.015
"148"	"double.positive..alpha.beta.thymocyte"	"bronchial.smooth.muscle.cell"	0.0149686141960406
"312"	"macrophage"	"endothelial.cell.of.lymphatic.vessel"	0.0149652592196686
"695"	"neutrophil"	"type.i.pneumocyte"	0.0148226574907358
"471"	"ionocyte"	"neutrophil"	0.0146914789422135
"387"	"connective.tissue.cell"	"lung.microvascular.endothelial.cell"	0.0146379044684129
"750"	"fibroblast"	"vein.endothelial.cell"	0.0144927536231884
"525"	"cd8.positive..alpha.beta.t.cell"	"pericyte.cell"	0.0144596651445967
"410"	"fibroblast"	"macrophage"	0.0144284128745838
"445"	"cd8.positive..alpha.beta.t.cell"	"myofibroblast.cell"	0.014410480349345
"429"	"endothelial.cell"	"mesothelial.cell"	0.01440329218107
"692"	"macrophage"	"type.i.pneumocyte"	0.0142949967511371
"532"	"macrophage"	"pericyte.cell"	0.014246947082768
"673"	"mast.cell"	"smooth.muscle.cell"	0.0141661300708307
"706"	"ciliated.cell"	"type.ii.pneumocyte"	0.0140784982935154
"738"	"serous.cell.of.epithelium.of.trachea"	"vascular.associated.smooth.muscle.cell"	0.014003294892916
"118"	"serous.cell.of.epithelium.of.trachea"	"basal.cell"	0.0139211136890951
"203"	"basal.cell"	"capillary.endothelial.cell"	0.0138436482084691
"494"	"mucus.secreting.cell"	"nk.cell"	0.0137362637362637
"646"	"ciliated.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0136752136752137
"717"	"secretory.cell"	"type.ii.pneumocyte"	0.0136518771331058
"579"	"smooth.muscle.cell"	"plasmacytoid.dendritic.cell"	0.013595874355368
"135"	"neutrophil"	"basophil"	0.0135338345864662
"218"	"serous.cell.of.epithelium.of.trachea"	"capillary.endothelial.cell"	0.0134907251264755
"162"	"b.cell"	"bronchial.vessel.endothelial.cell"	0.0134874759152216
"85"	"cd8.positive..alpha.beta.t.cell"	"b.cell"	0.0134638922888617
"428"	"double.positive..alpha.beta.thymocyte"	"mesothelial.cell"	0.0134436401240951
"131"	"ionocyte"	"basophil"	0.0133735979292494
"678"	"serous.cell.of.epithelium.of.trachea"	"smooth.muscle.cell"	0.0133244503664224
"225"	"cd8.positive..alpha.beta.t.cell"	"classical.monocyte"	0.0132689987937274
"198"	"serous.cell.of.epithelium.of.trachea"	"capillary.aerocyte"	0.0132560066280033
"158"	"serous.cell.of.epithelium.of.trachea"	"bronchial.smooth.muscle.cell"	0.0131810193321617
"353"	"mast.cell"	"intermediate.monocyte"	0.0131578947368421
"535"	"neutrophil"	"pericyte.cell"	0.013136288998358
"322"	"b.cell"	"fibroblast"	0.0130869899923018
"128"	"double.positive..alpha.beta.thymocyte"	"basophil"	0.0130647795318454
"186"	"ciliated.cell"	"capillary.aerocyte"	0.0130518234165067
"345"	"cd8.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0.0128805620608899
"580"	"t.cell"	"plasmacytoid.dendritic.cell"	0.0128283445326817
"348"	"double.positive..alpha.beta.thymocyte"	"intermediate.monocyte"	0.0128205128205128
"408"	"double.positive..alpha.beta.thymocyte"	"macrophage"	0.0128068303094984
"434"	"mucus.secreting.cell"	"mesothelial.cell"	0.0128055878928987
"183"	"basal.cell"	"capillary.aerocyte"	0.0128
"542"	"b.cell"	"plasma.cell"	0.0127659574468085
"648"	"double.positive..alpha.beta.thymocyte"	"serous.cell.of.epithelium.of.bronchus"	0.0127591706539075
"321"	"goblet.cell"	"fibroblast"	0.0127413127413127
"723"	"basal.cell"	"vascular.associated.smooth.muscle.cell"	0.0127186009538951
"402"	"b.cell"	"macrophage"	0.0126742712294043
"693"	"mast.cell"	"type.i.pneumocyte"	0.012532981530343
"361"	"goblet.cell"	"lung.ciliated.cell"	0.0125290023201856
"185"	"cd8.positive..alpha.beta.t.cell"	"capillary.aerocyte"	0.0124223602484472
"335"	"neutrophil"	"fibroblast"	0.0122680088078012
"124"	"cd4.positive..alpha.beta.t.cell"	"basophil"	0.0122511485451761
"301"	"goblet.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0121951219512195
"664"	"cd4.positive..alpha.beta.t.cell"	"smooth.muscle.cell"	0.0119521912350598
"100"	"t.cell"	"b.cell"	0.0119047619047619
"589"	"endothelial.cell"	"pulmonary.ionocyte"	0.0118741976893453
"212"	"macrophage"	"capillary.endothelial.cell"	0.0118389897395422
"662"	"b.cell"	"smooth.muscle.cell"	0.0118081180811808
"753"	"mast.cell"	"vein.endothelial.cell"	0.0117785630153121
"656"	"plasma.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0117056856187291
"707"	"connective.tissue.cell"	"type.ii.pneumocyte"	0.0115332428765265
"223"	"basal.cell"	"classical.monocyte"	0.0115303983228512
"2"	"b.cell"	"cd8.positive..alpha.beta.t.cell"	0.0114810562571757
"465"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.011457670273711
"51"	"ionocyte"	"adventitial.cell"	0.0113821138211382
"399"	"smooth.muscle.cell"	"lung.microvascular.endothelial.cell"	0.0113507377979569
"414"	"mucus.secreting.cell"	"macrophage"	0.0112640801001252
"403"	"basal.cell"	"macrophage"	0.0112130479102956
"247"	"connective.tissue.cell"	"club.cell"	0.0111524163568773
"411"	"ionocyte"	"macrophage"	0.0110169491525424
"437"	"secretory.cell"	"mesothelial.cell"	0.010989010989011
