"Lung"	"Tongue"	"value"
"373"	"respiratory.goblet.cell"	"schwann.cell"	0.00721732157177225
"319"	"endothelial.cell.of.artery"	"pericyte.cell"	0.00715563506261181
"88"	"classical.monocyte"	"endothelial.cell.of.artery"	0.00709219858156028
"205"	"endothelial.cell.of.artery"	"fibroblast"	0.00707070707070707
"71"	"serous.cell.of.epithelium.of.bronchus"	"capillary.endothelial.cell"	0.00705882352941176
"7"	"basophil"	"basal.cell"	0.00702247191011236
"435"	"fibroblast"	"vein.endothelial.cell"	0.00698725852856556
"120"	"basal.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00698602794411178
"423"	"b.cell"	"vein.endothelial.cell"	0.00696864111498258
"223"	"serous.cell.of.epithelium.of.bronchus"	"fibroblast"	0.0069364161849711
"10"	"capillary.aerocyte"	"basal.cell"	0.00685602350636631
"46"	"bronchial.smooth.muscle.cell"	"capillary.endothelial.cell"	0.00669216061185468
"269"	"adventitial.cell"	"keratinocyte"	0.00666666666666667
"77"	"cd8.positive..alpha.beta.t.cell"	"endothelial.cell.of.artery"	0.00653120464441219
"415"	"type.i.pneumocyte"	"tongue.muscle.cell"	0.00650759219088937
"39"	"cd8.positive..alpha.beta.t.cell"	"capillary.endothelial.cell"	0.00648648648648649
"261"	"serous.cell.of.epithelium.of.bronchus"	"immune.cell"	0.00641539695268645
"80"	"alveolar.fibroblast"	"endothelial.cell.of.artery"	0.00637393767705382
"391"	"capillary.endothelial.cell"	"tongue.muscle.cell"	0.00632911392405063
"146"	"respiratory.mucous.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00631768953068592
"197"	"basophil"	"fibroblast"	0.00608272506082725
"238"	"capillary.aerocyte"	"immune.cell"	0.00594844679444812
"74"	"type.ii.pneumocyte"	"capillary.endothelial.cell"	0.0058411214953271
"4"	"alveolar.fibroblast"	"basal.cell"	0.00578034682080925
"283"	"fibroblast"	"keratinocyte"	0.005720823798627
"5"	"b.cell"	"basal.cell"	0.00562587904360056
"276"	"capillary.aerocyte"	"keratinocyte"	0.00559701492537313
"421"	"adventitial.cell"	"vein.endothelial.cell"	0.00559440559440559
"228"	"vein.endothelial.cell"	"fibroblast"	0.00558659217877095
"445"	"pericyte.cell"	"vein.endothelial.cell"	0.00557103064066852
"60"	"mesothelial.cell"	"capillary.endothelial.cell"	0.00551876379690949
"51"	"club.cell"	"capillary.endothelial.cell"	0.00550964187327824
"176"	"neutrophil"	"epithelial.cell"	0.00548696844993141
"444"	"non.classical.monocyte"	"vein.endothelial.cell"	0.00544464609800363
"173"	"macrophage"	"epithelial.cell"	0.00540540540540541
"282"	"endothelial.cell.of.lymphatic.vessel"	"keratinocyte"	0.00540540540540541
"18"	"intermediate.monocyte"	"basal.cell"	0.0053475935828877
"441"	"myofibroblast.cell"	"vein.endothelial.cell"	0.00533462657613967
"390"	"capillary.aerocyte"	"tongue.muscle.cell"	0.00531914893617021
"244"	"endothelial.cell.of.lymphatic.vessel"	"immune.cell"	0.00522069292833412
"245"	"fibroblast"	"immune.cell"	0.00522022838499184
"316"	"classical.monocyte"	"pericyte.cell"	0.00520291363163371
"204"	"dendritic.cell"	"fibroblast"	0.0051150895140665
"430"	"classical.monocyte"	"vein.endothelial.cell"	0.00511073253833049
"437"	"lung.ciliated.cell"	"vein.endothelial.cell"	0.00500250125062531
"79"	"adventitial.cell"	"endothelial.cell.of.artery"	0.005
"274"	"bronchial.smooth.muscle.cell"	"keratinocyte"	0.00498504486540379
"335"	"respiratory.goblet.cell"	"pericyte.cell"	0.0049813200498132
"43"	"b.cell"	"capillary.endothelial.cell"	0.00496277915632754
