"Bone marrow"	"Spleen"	"value"
"372"	"erythrocyte"	"type.i.nk.t.cell"	0.00133689839572193
"311"	"hematopoietic.stem.cell"	"plasma.cell"	0.00132802124833997
"37"	"erythroid.progenitor"	"cd8.positive..alpha.beta.memory.t.cell"	0.00124223602484472
"267"	"myeloid.progenitor"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00119331742243437
"253"	"nampt.neutrophil"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00116009280742459
"254"	"neutrophil"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00115874855156431
"119"	"hematopoietic.stem.cell"	"erythrocyte"	0.00113507377979569
"255"	"nk.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.001085776330076
"222"	"neutrophil"	"memory.b.cell"	0.00106951871657754
"124"	"naive.b.cell"	"erythrocyte"	0.00106044538706257
"269"	"nampt.neutrophil"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00105708245243129
"227"	"cd24.neutrophil"	"naive.b.cell"	0.00105596620908131
"197"	"erythroid.progenitor"	"mature.nk.t.cell"	0.00101936799184506
"317"	"nampt.neutrophil"	"plasma.cell"	0.000964320154291225
"137"	"memory.b.cell"	"hematopoietic.stem.cell"	0.000914076782449726
"85"	"erythroid.progenitor"	"classical.monocyte"	0.000890471950133571
"144"	"plasma.cell"	"hematopoietic.stem.cell"	0.000877963125548727
"293"	"erythroid.progenitor"	"nk.cell"	0.00087260034904014
"125"	"nampt.neutrophil"	"erythrocyte"	0.000858369098712446
"171"	"myeloid.progenitor"	"intermediate.monocyte"	0.000790513833992095
"283"	"myeloid.progenitor"	"neutrophil"	0.000576036866359447
"277"	"erythroid.progenitor"	"neutrophil"	0.000544365813826892
"19"	"cd24.neutrophil"	"cd4.positive..alpha.beta.memory.t.cell"	0
"21"	"erythroid.progenitor"	"cd4.positive..alpha.beta.memory.t.cell"	0
"22"	"granulocyte"	"cd4.positive..alpha.beta.memory.t.cell"	0
"24"	"macrophage"	"cd4.positive..alpha.beta.memory.t.cell"	0
"25"	"memory.b.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"26"	"monocyte"	"cd4.positive..alpha.beta.memory.t.cell"	0
"27"	"myeloid.progenitor"	"cd4.positive..alpha.beta.memory.t.cell"	0
"28"	"naive.b.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"31"	"nk.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0
"35"	"cd24.neutrophil"	"cd8.positive..alpha.beta.memory.t.cell"	0
"36"	"erythrocyte"	"cd8.positive..alpha.beta.memory.t.cell"	0
"38"	"granulocyte"	"cd8.positive..alpha.beta.memory.t.cell"	0
"39"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"40"	"macrophage"	"cd8.positive..alpha.beta.memory.t.cell"	0
"42"	"monocyte"	"cd8.positive..alpha.beta.memory.t.cell"	0
"43"	"myeloid.progenitor"	"cd8.positive..alpha.beta.memory.t.cell"	0
"44"	"naive.b.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0
"45"	"nampt.neutrophil"	"cd8.positive..alpha.beta.memory.t.cell"	0
"46"	"neutrophil"	"cd8.positive..alpha.beta.memory.t.cell"	0
"81"	"cd4.positive..alpha.beta.t.cell"	"classical.monocyte"	0
"96"	"plasma.cell"	"classical.monocyte"	0
"113"	"cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0
"120"	"macrophage"	"erythrocyte"	0
"122"	"monocyte"	"erythrocyte"	0
"123"	"myeloid.progenitor"	"erythrocyte"	0
"127"	"nk.cell"	"erythrocyte"	0
"128"	"plasma.cell"	"erythrocyte"	0
"129"	"cd4.positive..alpha.beta.t.cell"	"hematopoietic.stem.cell"	0
"161"	"cd4.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0
"162"	"cd8.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0
"169"	"memory.b.cell"	"intermediate.monocyte"	0
"176"	"plasma.cell"	"intermediate.monocyte"	0
"198"	"granulocyte"	"mature.nk.t.cell"	0
"200"	"macrophage"	"mature.nk.t.cell"	0
"201"	"memory.b.cell"	"mature.nk.t.cell"	0
"208"	"plasma.cell"	"mature.nk.t.cell"	0
"209"	"cd4.positive..alpha.beta.t.cell"	"memory.b.cell"	0
"211"	"cd24.neutrophil"	"memory.b.cell"	0
"212"	"erythrocyte"	"memory.b.cell"	0
"216"	"macrophage"	"memory.b.cell"	0
"218"	"monocyte"	"memory.b.cell"	0
"221"	"nampt.neutrophil"	"memory.b.cell"	0
"223"	"nk.cell"	"memory.b.cell"	0
"225"	"cd4.positive..alpha.beta.t.cell"	"naive.b.cell"	0
"230"	"granulocyte"	"naive.b.cell"	0
"234"	"monocyte"	"naive.b.cell"	0
"243"	"cd24.neutrophil"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"245"	"erythroid.progenitor"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"246"	"granulocyte"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
"248"	"macrophage"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0
