"Trachea"	"Spleen"	"value"
"28"	"double.positive..alpha.beta.thymocyte"	"cd4.positive..alpha.beta.memory.t.cell"	0.00655307994757536
"272"	"macrophage"	"memory.b.cell"	0.0065359477124183
"103"	"basal.cell"	"classical.monocyte"	0.00650054171180932
"53"	"mast.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00647249190938511
"234"	"mucus.secreting.cell"	"macrophage"	0.00641025641025641
"420"	"t.cell"	"plasmacytoid.dendritic.cell"	0.00640204865556978
"44"	"cd4.positive..alpha.beta.t.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00634920634920635
"363"	"basal.cell"	"nk.cell"	0.00634249471458774
"4"	"cd4.positive..alpha.beta.t.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.0063391442155309
"391"	"ionocyte"	"plasma.cell"	0.00631768953068592
"454"	"mucus.secreting.cell"	"regulatory.t.cell"	0.0062992125984252
"105"	"cd8.positive..alpha.beta.t.cell"	"classical.monocyte"	0.00625782227784731
"88"	"double.positive..alpha.beta.thymocyte"	"cd141.positive.myeloid.dendritic.cell"	0.00619020821609454
"96"	"plasma.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00618556701030928
"326"	"ciliated.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00617577197149644
"447"	"connective.tissue.cell"	"regulatory.t.cell"	0.00614439324116743
"62"	"b.cell"	"cd8.positive..alpha.beta.t.cell"	0.00610997963340122
"152"	"macrophage"	"erythrocyte"	0.00603015075376884
"337"	"secretory.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00600600600600601
"48"	"double.positive..alpha.beta.thymocyte"	"cd8.positive..alpha.beta.memory.t.cell"	0.00596816976127321
"345"	"cd8.positive..alpha.beta.t.cell"	"neutrophil"	0.00596421471172962
"306"	"ciliated.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00593471810089021
"72"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00587544065804935
"311"	"ionocyte"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00587371512481645
"137"	"secretory.cell"	"endothelial.cell"	0.00584307178631052
"17"	"secretory.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.00581395348837209
"117"	"secretory.cell"	"classical.monocyte"	0.00581395348837209
"205"	"cd8.positive..alpha.beta.t.cell"	"intermediate.monocyte"	0.00576368876080692
"271"	"ionocyte"	"memory.b.cell"	0.00567375886524823
"246"	"ciliated.cell"	"mature.nk.t.cell"	0.00558659217877095
"440"	"t.cell"	"platelet"	0.00554870530209618
"467"	"connective.tissue.cell"	"type.i.nk.t.cell"	0.0055205047318612
"76"	"plasma.cell"	"cd8.positive..alpha.beta.t.cell"	0.00549450549450549
"102"	"b.cell"	"classical.monocyte"	0.00546448087431694
"322"	"b.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00546448087431694
"61"	"goblet.cell"	"cd8.positive..alpha.beta.t.cell"	0.00546075085324232
"323"	"basal.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00539811066126856
"182"	"b.cell"	"innate.lymphoid.cell"	0.0053475935828877
"333"	"mast.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00531914893617021
"85"	"cd8.positive..alpha.beta.t.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00531208499335989
"266"	"ciliated.cell"	"memory.b.cell"	0.00525059665871122
"458"	"serous.cell.of.epithelium.of.trachea"	"regulatory.t.cell"	0.00515463917525773
"332"	"macrophage"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0051413881748072
"202"	"b.cell"	"intermediate.monocyte"	0.00513347022587269
"84"	"cd4.positive..alpha.beta.t.cell"	"cd141.positive.myeloid.dendritic.cell"	0.00512820512820513
"463"	"basal.cell"	"type.i.nk.t.cell"	0.00510204081632653
"462"	"b.cell"	"type.i.nk.t.cell"	0.00506756756756757
"386"	"ciliated.cell"	"plasma.cell"	0.00500454959053685
"5"	"cd8.positive..alpha.beta.t.cell"	"cd1c.positive.myeloid.dendritic.cell"	0.005
"474"	"mucus.secreting.cell"	"type.i.nk.t.cell"	0.00499168053244592
"455"	"neutrophil"	"regulatory.t.cell"	0.00495867768595041
"343"	"basal.cell"	"neutrophil"	0.00489296636085627
"252"	"macrophage"	"mature.nk.t.cell"	0.0048780487804878
"457"	"secretory.cell"	"regulatory.t.cell"	0.0048661800486618
"449"	"endothelial.cell"	"regulatory.t.cell"	0.00483091787439614
"383"	"basal.cell"	"plasma.cell"	0.00480769230769231
"393"	"mast.cell"	"plasma.cell"	0.00474495848161329
"259"	"smooth.muscle.cell"	"mature.nk.t.cell"	0.004739336492891
"74"	"mucus.secreting.cell"	"cd8.positive..alpha.beta.t.cell"	0.00471698113207547
"295"	"neutrophil"	"naive.b.cell"	0.00471698113207547
"33"	"mast.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00470219435736677
"176"	"plasma.cell"	"hematopoietic.stem.cell"	0.00469924812030075
"56"	"plasma.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00462962962962963
"471"	"ionocyte"	"type.i.nk.t.cell"	0.00460405156537753
