"Lung"	"Skeletal muscle"	"value"
"603"	"serous.cell.of.epithelium.of.bronchus"	"slow.muscle.cell"	0.0158311345646438
"714"	"pulmonary.ionocyte"	"tendon.cell"	0.0157915515199368
"611"	"adventitial.cell"	"smooth.muscle.cell"	0.0157154673283706
"569"	"vascular.associated.smooth.muscle.cell"	"skeletal.muscle.satellite.stem.cell"	0.0155535224153705
"88"	"classical.monocyte"	"cd8.positive..alpha.beta.t.cell"	0.0155367231638418
"354"	"classical.monocyte"	"mast.cell"	0.0155109489051095
"582"	"classical.monocyte"	"slow.muscle.cell"	0.0155091031692515
"127"	"club.cell"	"endothelial.cell.of.artery"	0.0155038759689922
"24"	"neutrophil"	"capillary.endothelial.cell"	0.0154669839381321
"21"	"macrophage"	"capillary.endothelial.cell"	0.0154639175257732
"614"	"basal.cell"	"smooth.muscle.cell"	0.0154589371980676
"510"	"endothelial.cell.of.lymphatic.vessel"	"pericyte.cell"	0.0154241645244216
"681"	"type.i.pneumocyte"	"t.cell"	0.0153027278775782
"146"	"respiratory.mucous.cell"	"endothelial.cell.of.artery"	0.0152235965746908
"487"	"respiratory.goblet.cell"	"mesothelial.cell"	0.0151946818613485
"440"	"mesothelial.cell"	"mesenchymal.stem.cell"	0.0150115473441109
"118"	"alveolar.fibroblast"	"endothelial.cell.of.artery"	0.0149779735682819
"269"	"adventitial.cell"	"fast.muscle.cell"	0.0148920327624721
"428"	"capillary.aerocyte"	"mesenchymal.stem.cell"	0.0148837209302326
"155"	"adventitial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.014760147601476
"225"	"type.i.pneumocyte"	"endothelial.cell.of.vascular.tree"	0.0147167034584253
"293"	"pericyte.cell"	"fast.muscle.cell"	0.0146886016451234
"143"	"plasmacytoid.dendritic.cell"	"endothelial.cell.of.artery"	0.0146641438032167
"551"	"lung.ciliated.cell"	"skeletal.muscle.satellite.stem.cell"	0.0146252285191956
"595"	"nk.cell"	"slow.muscle.cell"	0.0146071851559416
"591"	"macrophage"	"slow.muscle.cell"	0.014559894109861
"387"	"basophil"	"mature.nk.t.cell"	0.0145482388973966
"29"	"plasmacytoid.dendritic.cell"	"capillary.endothelial.cell"	0.0145348837209302
"431"	"club.cell"	"mesenchymal.stem.cell"	0.0145348837209302
"212"	"mesothelial.cell"	"endothelial.cell.of.vascular.tree"	0.0145089285714286
"434"	"endothelial.cell.of.lymphatic.vessel"	"mesenchymal.stem.cell"	0.0144317498496693
"37"	"vascular.associated.smooth.muscle.cell"	"capillary.endothelial.cell"	0.0144115292233787
"399"	"lung.ciliated.cell"	"mature.nk.t.cell"	0.0143646408839779
"145"	"respiratory.goblet.cell"	"endothelial.cell.of.artery"	0.0143198090692124
"99"	"myofibroblast.cell"	"cd8.positive..alpha.beta.t.cell"	0.0142791340396131
"573"	"adventitial.cell"	"slow.muscle.cell"	0.0142679900744417
"360"	"intermediate.monocyte"	"mast.cell"	0.0142602495543672
"567"	"type.i.pneumocyte"	"skeletal.muscle.satellite.stem.cell"	0.0141685309470544
"561"	"plasmacytoid.dendritic.cell"	"skeletal.muscle.satellite.stem.cell"	0.0141361256544503
"466"	"capillary.aerocyte"	"mesothelial.cell"	0.0139257294429708
"452"	"smooth.muscle.cell"	"mesenchymal.stem.cell"	0.0138686131386861
"184"	"respiratory.mucous.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0137931034482759
"331"	"pericyte.cell"	"macrophage"	0.0137061403508772
"424"	"basal.cell"	"mesenchymal.stem.cell"	0.0136612021857923
"658"	"classical.monocyte"	"t.cell"	0.0136268343815514
"172"	"lung.microvascular.endothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0133333333333333
"407"	"pericyte.cell"	"mature.nk.t.cell"	0.0133037694013304
"62"	"neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.0132743362831858
"429"	"capillary.endothelial.cell"	"mesenchymal.stem.cell"	0.0132575757575758
"207"	"fibroblast"	"endothelial.cell.of.vascular.tree"	0.0132325141776938
"389"	"bronchial.vessel.endothelial.cell"	"mature.nk.t.cell"	0.0131744040150565
"548"	"endothelial.cell.of.lymphatic.vessel"	"skeletal.muscle.satellite.stem.cell"	0.013126491646778
"353"	"capillary.endothelial.cell"	"mast.cell"	0.0130909090909091
"122"	"bronchial.smooth.muscle.cell"	"endothelial.cell.of.artery"	0.0130718954248366
"556"	"neutrophil"	"skeletal.muscle.satellite.stem.cell"	0.0130718954248366
"137"	"myofibroblast.cell"	"endothelial.cell.of.artery"	0.0130081300813008
"307"	"adventitial.cell"	"macrophage"	0.0129604365620737
"338"	"smooth.muscle.cell"	"macrophage"	0.0129533678756477
"352"	"capillary.aerocyte"	"mast.cell"	0.0128939828080229
"580"	"capillary.aerocyte"	"slow.muscle.cell"	0.0128923766816144
"83"	"basophil"	"cd8.positive..alpha.beta.t.cell"	0.0128571428571429
"240"	"classical.monocyte"	"erythrocyte"	0.0127659574468085
"467"	"capillary.endothelial.cell"	"mesothelial.cell"	0.012760241773002
"30"	"pulmonary.ionocyte"	"capillary.endothelial.cell"	0.012653516933383
"364"	"mesothelial.cell"	"mast.cell"	0.012636899747262
"517"	"myofibroblast.cell"	"pericyte.cell"	0.0126227208976157
"632"	"neutrophil"	"smooth.muscle.cell"	0.0126027397260274
"588"	"intermediate.monocyte"	"slow.muscle.cell"	0.0125661375661376
"150"	"type.ii.pneumocyte"	"endothelial.cell.of.artery"	0.01256038647343
"183"	"respiratory.goblet.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0124688279301746
"497"	"adventitial.cell"	"pericyte.cell"	0.0124688279301746
"174"	"mesothelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.0124164278892073
"273"	"basophil"	"fast.muscle.cell"	0.0124069478908189
"52"	"dendritic.cell"	"cd4.positive..alpha.beta.t.cell"	0.0123456790123457
