"Tongue"	"Lung"	"value"
"105"	"pericyte.cell"	"bronchial.vessel.endothelial.cell"	0.00483870967741936
"396"	"vein.endothelial.cell"	"serous.cell.of.epithelium.of.bronchus"	0.00483091787439614
"149"	"epithelial.cell"	"club.cell"	0.00482315112540193
"432"	"vein.endothelial.cell"	"type.ii.pneumocyte"	0.00479233226837061
"104"	"keratinocyte"	"bronchial.vessel.endothelial.cell"	0.00475285171102662
"29"	"epithelial.cell"	"adventitial.cell"	0.00475059382422803
"259"	"immune.cell"	"mesothelial.cell"	0.00460122699386503
"364"	"endothelial.cell.of.lymphatic.vessel"	"respiratory.goblet.cell"	0.00447427293064877
"444"	"vein.endothelial.cell"	"vascular.associated.smooth.muscle.cell"	0.00446927374301676
"165"	"pericyte.cell"	"dendritic.cell"	0.00439077936333699
"185"	"epithelial.cell"	"endothelial.cell.of.lymphatic.vessel"	0.00435594275046671
"4"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.t.cell"	0.00430663221360896
"176"	"keratinocyte"	"endothelial.cell.of.artery"	0.00428724544480171
"11"	"tongue.muscle.cell"	"cd8.positive..alpha.beta.t.cell"	0.00426439232409382
"77"	"epithelial.cell"	"basophil"	0.00426136363636364
"334"	"schwann.cell"	"plasma.cell"	0.00422832980972516
"455"	"tongue.muscle.cell"	"vein.endothelial.cell"	0.00420757363253857
"164"	"keratinocyte"	"dendritic.cell"	0.004149377593361
"313"	"basal.cell"	"pericyte.cell"	0.00411522633744856
"327"	"endothelial.cell.of.artery"	"plasma.cell"	0.00408997955010225
"342"	"fibroblast"	"plasmacytoid.dendritic.cell"	0.00407124681933842
"308"	"keratinocyte"	"non.classical.monocyte"	0.0040650406504065
"272"	"keratinocyte"	"myofibroblast.cell"	0.00399822301199467
