"Bone marrow"	"Skeletal muscle"	"value"
"110"	"neutrophil"	"erythrocyte"	0.00347624565469293
"19"	"cd24.neutrophil"	"cd4.positive..alpha.beta.t.cell"	0.00344036697247706
"302"	"neutrophil"	"tendon.cell"	0.00334448160535117
"289"	"cd4.positive..alpha.beta.t.cell"	"tendon.cell"	0.00333333333333333
"27"	"myeloid.progenitor"	"cd4.positive..alpha.beta.t.cell"	0.00332225913621262
"233"	"memory.b.cell"	"skeletal.muscle.satellite.stem.cell"	0.00323624595469256
"240"	"plasma.cell"	"skeletal.muscle.satellite.stem.cell"	0.00301659125188537
"24"	"macrophage"	"cd4.positive..alpha.beta.t.cell"	0.00300751879699248
"96"	"plasma.cell"	"endothelial.cell.of.vascular.tree"	0.00293255131964809
"279"	"hematopoietic.stem.cell"	"t.cell"	0.00280636108512629
"282"	"monocyte"	"t.cell"	0.00264550264550265
"40"	"macrophage"	"cd8.positive..alpha.beta.t.cell"	0.00263504611330698
"226"	"cd8.positive..alpha.beta.t.cell"	"skeletal.muscle.satellite.stem.cell"	0.00263504611330698
"39"	"hematopoietic.stem.cell"	"cd8.positive..alpha.beta.t.cell"	0.0024330900243309
"288"	"plasma.cell"	"t.cell"	0.00241254523522316
"109"	"nampt.neutrophil"	"erythrocyte"	0.00231749710312862
"249"	"memory.b.cell"	"slow.muscle.cell"	0.00226928895612708
"32"	"plasma.cell"	"cd4.positive..alpha.beta.t.cell"	0.00204918032786885
"42"	"monocyte"	"cd8.positive..alpha.beta.t.cell"	0.00196463654223969
"104"	"macrophage"	"erythrocyte"	0.00193423597678917
"170"	"monocyte"	"mature.nk.t.cell"	0.00177935943060498
"216"	"macrophage"	"pericyte.cell"	0.00138121546961326
"99"	"cd24.neutrophil"	"erythrocyte"	0.00137931034482759
"122"	"monocyte"	"fast.muscle.cell"	0.0009765625
"250"	"monocyte"	"slow.muscle.cell"	0.000771604938271605
"97"	"cd4.positive..alpha.beta.t.cell"	"erythrocyte"	0
"98"	"cd8.positive..alpha.beta.t.cell"	"erythrocyte"	0
"102"	"granulocyte"	"erythrocyte"	0
"103"	"hematopoietic.stem.cell"	"erythrocyte"	0
"105"	"memory.b.cell"	"erythrocyte"	0
"106"	"monocyte"	"erythrocyte"	0
"107"	"myeloid.progenitor"	"erythrocyte"	0
"108"	"naive.b.cell"	"erythrocyte"	0
"111"	"nk.cell"	"erythrocyte"	0
"112"	"plasma.cell"	"erythrocyte"	0
"280"	"macrophage"	"t.cell"	0
