"Skeletal muscle"	"Lung"	"value"
"148"	"skeletal.muscle.satellite.stem.cell"	"bronchial.smooth.muscle.cell"	0.0107737512242899
"10"	"mast.cell"	"cd8.positive..alpha.beta.t.cell"	0.010752688172043
"601"	"mesenchymal.stem.cell"	"respiratory.mucous.cell"	0.0107270560190703
"201"	"mature.nk.t.cell"	"capillary.endothelial.cell"	0.0106382978723404
"251"	"endothelial.cell.of.artery"	"dendritic.cell"	0.0105485232067511
"208"	"t.cell"	"capillary.endothelial.cell"	0.0105348460291734
"99"	"endothelial.cell.of.artery"	"basal.cell"	0.010515247108307
"715"	"mesenchymal.stem.cell"	"vein.endothelial.cell"	0.0105105105105105
"161"	"macrophage"	"bronchial.vessel.endothelial.cell"	0.0105003088326127
"608"	"tendon.cell"	"respiratory.mucous.cell"	0.010477299185099
"331"	"fast.muscle.cell"	"intermediate.monocyte"	0.0104333868378812
"461"	"endothelial.cell.of.lymphatic.vessel"	"nk.cell"	0.0104270109235353
"388"	"fast.muscle.cell"	"macrophage"	0.0104166666666667
"391"	"mature.nk.t.cell"	"macrophage"	0.0103857566765579
"628"	"capillary.endothelial.cell"	"smooth.muscle.cell"	0.0103828682673589
"189"	"t.cell"	"capillary.aerocyte"	0.0103585657370518
"419"	"capillary.endothelial.cell"	"myofibroblast.cell"	0.0103476821192053
"619"	"mature.nk.t.cell"	"serous.cell.of.epithelium.of.bronchus"	0.0103321033210332
"538"	"endothelial.cell.of.vascular.tree"	"plasmacytoid.dendritic.cell"	0.0103305785123967
"144"	"mature.nk.t.cell"	"bronchial.smooth.muscle.cell"	0.0103225806451613
