"Tongue"	"Spleen"	"value"
"200"	"keratinocyte"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.0036036036036036
"192"	"vein.endothelial.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00350877192982456
"265"	"basal.cell"	"regulatory.t.cell"	0.00343053173241852
"152"	"keratinocyte"	"mature.nk.t.cell"	0.0033500837520938
"284"	"keratinocyte"	"type.i.nk.t.cell"	0.00334448160535117
"21"	"pericyte.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00317965023847377
"183"	"endothelial.cell.of.artery"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00308959835221421
"48"	"vein.endothelial.cell"	"cd8.positive..alpha.beta.t.cell"	0.00308641975308642
"282"	"fibroblast"	"type.i.nk.t.cell"	0.00303951367781155
"189"	"pericyte.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00303030303030303
"190"	"schwann.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00296610169491525
"230"	"capillary.endothelial.cell"	"plasma.cell"	0.00289435600578871
"221"	"epithelial.cell"	"nk.cell"	0.00284900284900285
"239"	"tongue.muscle.cell"	"plasma.cell"	0.00284900284900285
"204"	"vein.endothelial.cell"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.002710027100271
"184"	"endothelial.cell.of.lymphatic.vessel"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.00266311584553928
"22"	"schwann.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00257510729613734
"285"	"pericyte.cell"	"type.i.nk.t.cell"	0.00254129606099111
"156"	"vein.endothelial.cell"	"mature.nk.t.cell"	0.0024330900243309
"181"	"basal.cell"	"naive.thymus.derived.cd4.positive..alpha.beta.t.cell"	0.0023696682464455
"20"	"keratinocyte"	"cd4.positive..alpha.beta.memory.t.cell"	0.00226757369614512
"240"	"vein.endothelial.cell"	"plasma.cell"	0.00217391304347826
"15"	"endothelial.cell.of.artery"	"cd4.positive..alpha.beta.memory.t.cell"	0.00212539851222104
"35"	"tongue.muscle.cell"	"cd8.positive..alpha.beta.memory.t.cell"	0.00209205020920502
"23"	"tongue.muscle.cell"	"cd4.positive..alpha.beta.memory.t.cell"	0.00201207243460765
"18"	"fibroblast"	"cd4.positive..alpha.beta.memory.t.cell"	0.00199600798403194
"77"	"epithelial.cell"	"endothelial.cell"	0.00194779898714453
"149"	"epithelial.cell"	"mature.nk.t.cell"	0.00185873605947955
"281"	"epithelial.cell"	"type.i.nk.t.cell"	0.00185528756957328
"164"	"keratinocyte"	"memory.b.cell"	0.00183823529411765
"277"	"basal.cell"	"type.i.nk.t.cell"	0.00182149362477231
"269"	"epithelial.cell"	"regulatory.t.cell"	0.00174216027874564
"228"	"vein.endothelial.cell"	"nk.cell"	0.00173611111111111
"198"	"fibroblast"	"naive.thymus.derived.cd8.positive..alpha.beta.t.cell"	0.00162337662337662
"150"	"fibroblast"	"mature.nk.t.cell"	0.00151975683890578
"28"	"endothelial.cell.of.lymphatic.vessel"	"cd8.positive..alpha.beta.memory.t.cell"	0.00142450142450142
